offline_datapoint_16 1631554442 176,274
offline_datapoint_29 1631554442 5,889
offline_datapoint_17 1631554442 23,614
offline_datapoint_10 1631554442 95,187
offline_datapoint_30 1631554442 0,665
offline_datapoint_23 1631554442 8047,775
offline_datapoint_4 1631554442 0,059
offline_datapoint_11 1631554447 32647,000
offline_datapoint_5 1631554447 3846,000
offline_datapoint_18 1631554445 58,426
offline_datapoint_27 1631554447 391835648,000
offline_datapoint_14 1631554447 359133184,000
offline_datapoint_3 1631554447 12170706944,000
offline_datapoint_9 1631554447 216780800,000
offline_datapoint_26 1631554447 1288,000
offline_datapoint_20 1631554445 14,299
offline_datapoint_8 1631554445 6490,287
offline_datapoint_22 1631554447 216780800,000
offline_datapoint_1 1631554445 2,660
offline_datapoint_21 1631554447 8715792384,000
offline_datapoint_7 1631554447 9920012288,000
offline_datapoint_6 1631554445 0,000
offline_datapoint_12 1631554445 3,983
offline_datapoint_25 1631554445 1,884
offline_datapoint_13 1631554445 4661,620
offline_datapoint_19 1631554447 0,000
offline_datapoint_0 1631554445 6691,809
offline_datapoint_16 1631554445 450,266
offline_datapoint_29 1631554445 0,383
offline_datapoint_17 1631554445 17,625
offline_datapoint_10 1631554445 99,517
offline_datapoint_30 1631554445 0,000
offline_datapoint_23 1631554445 7293,585
offline_datapoint_4 1631554445 0,004
offline_datapoint_11 1631554450 32647,000
offline_datapoint_5 1631554450 3841,000
offline_datapoint_18 1631554448 58,433
offline_datapoint_27 1631554450 391835648,000
offline_datapoint_14 1631554450 359133184,000
offline_datapoint_3 1631554450 12172144640,000
offline_datapoint_9 1631554450 216510464,000
offline_datapoint_26 1631554450 1288,000
offline_datapoint_20 1631554448 17,346
offline_datapoint_8 1631554448 7319,253
offline_datapoint_22 1631554450 216510464,000
offline_datapoint_1 1631554448 2,001
offline_datapoint_21 1631554450 8716226560,000
offline_datapoint_7 1631554450 9920741376,000
offline_datapoint_6 1631554448 0,000
offline_datapoint_12 1631554448 5,348
offline_datapoint_25 1631554448 2,931
offline_datapoint_13 1631554448 4835,137
offline_datapoint_19 1631554450 0,000
offline_datapoint_0 1631554448 7038,719
offline_datapoint_16 1631554448 394,617
offline_datapoint_29 1631554448 1,733
offline_datapoint_17 1631554448 23,017
offline_datapoint_10 1631554448 98,016
offline_datapoint_30 1631554448 0,000
offline_datapoint_23 1631554448 14068,870
offline_datapoint_4 1631554448 0,017
offline_datapoint_11 1631554453 32647,000
offline_datapoint_5 1631554453 3840,000
offline_datapoint_18 1631554451 58,425
offline_datapoint_27 1631554453 391340032,000
offline_datapoint_14 1631554453 359153664,000
offline_datapoint_3 1631554453 12170510336,000
offline_datapoint_9 1631554453 216514560,000
offline_datapoint_26 1631554453 1287,000
offline_datapoint_20 1631554451 2,667
offline_datapoint_8 1631554451 4253,451
offline_datapoint_22 1631554453 216514560,000
offline_datapoint_1 1631554451 0,333
offline_datapoint_21 1631554453 8715984896,000
offline_datapoint_7 1631554453 9921859584,000
offline_datapoint_6 1631554451 0,130
offline_datapoint_12 1631554451 4,762
offline_datapoint_25 1631554451 2,669
offline_datapoint_13 1631554451 4409,122
offline_datapoint_19 1631554453 0,000
offline_datapoint_0 1631554451 6555,181
offline_datapoint_16 1631554451 338,676
