369 1631554474 0,051141 0,200000 0,051141 0,051141 0,000523
339 1631554474 0,090337 0,200000 0,090337 0,090337 0,001632
326 1631554474 0,060603 0,400000 0,057516 0,063689 0,001473
342 1631554474 19,790295 0,200000 19,790295 19,790295 78,331154
315 1631554474 0,095218 0,400000 0,094638 0,095798 0,003627
332 1631554475 0,120780 0,400000 0,098086 0,143474 0,006041
300 1631554475 0,104105 0,200000 0,104105 0,104105 0,002168
335 1631554475 0,056181 0,200000 0,056181 0,056181 0,000631
345 1631554475 19,790340 0,200000 19,790340 19,790340 78,331509
369 1631554475 0,051141 0,200000 0,051141 0,051141 0,000523
339 1631554475 0,090337 0,200000 0,090337 0,090337 0,001632
326 1631554475 0,060603 0,400000 0,057516 0,063689 0,001473
342 1631554475 19,790295 0,200000 19,790295 19,790295 78,331154
315 1631554475 0,095218 0,400000 0,094638 0,095798 0,003627
332 1631554476 0,120780 0,400000 0,098086 0,143474 0,006041
332 1631554477 0,096535 0,200000 0,096535 0,096535 0,001864
300 1631554476 0,104105 0,200000 0,104105 0,104105 0,002168
300 1631554477 0,091941 0,400000 0,089538 0,094344 0,003384
335 1631554476 0,056181 0,200000 0,056181 0,056181 0,000631
335 1631554477 0,058579 0,200000 0,058579 0,058579 0,000686
381 1631554477 3,068202 0,200000 3,068202 3,068202 1,882772
345 1631554476 19,790340 0,200000 19,790340 19,790340 78,331509
360 1631554477 0,056658 0,200000 0,056658 0,056658 0,000642
354 1631554477 19,464228 0,200000 19,464228 19,464228 75,771237
312 1631554477 0,141177 0,200000 0,141177 0,141177 0,003986
369 1631554476 0,051141 0,200000 0,051141 0,051141 0,000523
339 1631554476 0,090337 0,200000 0,090337 0,090337 0,001632
339 1631554477 0,119484 0,400000 0,102774 0,136195 0,005822
329 1631554477 0,057965 0,400000 0,057352 0,058578 0,001344
375 1631554477 0,094807 0,200000 0,094807 0,094807 0,001798
348 1631554477 14,296739 0,200000 14,296739 14,296739 40,879351
372 1631554477 10,442976 0,200000 10,442976 10,442976 21,811150
326 1631554476 0,060603 0,400000 0,057516 0,063689 0,001473
378 1631554477 10,442329 0,200000 10,442329 10,442329 21,808447
357 1631554477 10,488589 0,200000 10,488589 10,488589 22,002098
342 1631554476 19,790295 0,200000 19,790295 19,790295 78,331154
351 1631554477 14,749907 0,600000 10,488625 19,464310 138,653735
315 1631554476 0,095218 0,400000 0,094638 0,095798 0,003627
315 1631554477 0,111440 0,200000 0,111440 0,111440 0,002484
332 1631554478 0,096535 0,200000 0,096535 0,096535 0,001864
300 1631554478 0,091941 0,400000 0,089538 0,094344 0,003384
335 1631554478 0,058579 0,200000 0,058579 0,058579 0,000686
381 1631554478 3,068202 0,200000 3,068202 3,068202 1,882772
360 1631554478 0,056658 0,200000 0,056658 0,056658 0,000642
354 1631554478 19,464228 0,200000 19,464228 19,464228 75,771237
312 1631554478 0,141177 0,200000 0,141177 0,141177 0,003986
339 1631554478 0,119484 0,400000 0,102774 0,136195 0,005822
329 1631554478 0,057965 0,400000 0,057352 0,058578 0,001344
375 1631554478 0,094807 0,200000 0,094807 0,094807 0,001798
348 1631554478 14,296739 0,200000 14,296739 14,296739 40,879351
372 1631554478 10,442976 0,200000 10,442976 10,442976 21,811150
378 1631554478 10,442329 0,200000 10,442329 10,442329 21,808447
357 1631554478 10,488589 0,200000 10,488589 10,488589 22,002098
351 1631554478 14,749907 0,600000 10,488625 19,464310 138,653735
315 1631554478 0,111440 0,200000 0,111440 0,111440 0,002484
332 1631554479 0,096535 0,200000 0,096535 0,096535 0,001864
300 1631554479 0,091941 0,400000 0,089538 0,094344 0,003384
335 1631554479 0,058579 0,200000 0,058579 0,058579 0,000686
381 1631554479 3,068202 0,200000 3,068202 3,068202 1,882772
360 1631554479 0,056658 0,200000 0,056658 0,056658 0,000642
354 1631554479 19,464228 0,200000 19,464228 19,464228 75,771237
312 1631554479 0,141177 0,200000 0,141177 0,141177 0,003986
339 1631554479 0,119484 0,400000 0,102774 0,136195 0,005822
329 1631554479 0,057965 0,400000 0,057352 0,058578 0,001344
375 1631554479 0,094807 0,200000 0,094807 0,094807 0,001798
348 1631554479 14,296739 0,200000 14,296739 14,296739 40,879351
372 1631554479 10,442976 0,200000 10,442976 10,442976 21,811150
378 1631554479 10,442329 0,200000 10,442329 10,442329 21,808447
357 1631554479 10,488589 0,200000 10,488589 10,488589 22,002098
351 1631554479 14,749907 0,600000 10,488625 19,464310 138,653735
315 1631554479 0,111440 0,200000 0,111440 0,111440 0,002484
332 1631554480 0,096535 0,200000 0,096535 0,096535 0,001864
300 1631554480 0,091941 0,400000 0,089538 0,094344 0,003384
335 1631554480 0,058579 0,200000 0,058579 0,058579 0,000686
381 1631554480 3,068202 0,200000 3,068202 3,068202 1,882772
360 1631554480 0,056658 0,200000 0,056658 0,056658 0,000642
354 1631554480 19,464228 0,200000 19,464228 19,464228 75,771237
312 1631554480 0,141177 0,200000 0,141177 0,141177 0,003986
339 1631554480 0,119484 0,400000 0,102774 0,136195 0,005822
329 1631554480 0,057965 0,400000 0,057352 0,058578 0,001344
375 1631554480 0,094807 0,200000 0,094807 0,094807 0,001798
348 1631554480 14,296739 0,200000 14,296739 14,296739 40,879351
372 1631554480 10,442976 0,200000 10,442976 10,442976 21,811150
378 1631554480 10,442329 0,200000 10,442329 10,442329 21,808447
357 1631554480 10,488589 0,200000 10,488589 10,488589 22,002098
351 1631554480 14,749907 0,600000 10,488625 19,464310 138,653735
315 1631554480 0,111440 0,200000 0,111440 0,111440 0,002484
332 1631554481 0,096535 0,200000 0,096535 0,096535 0,001864
300 1631554481 0,091941 0,400000 0,089538 0,094344 0,003384
335 1631554481 0,058579 0,200000 0,058579 0,058579 0,000686
381 1631554481 3,068202 0,200000 3,068202 3,068202 1,882772
360 1631554481 0,056658 0,200000 0,056658 0,056658 0,000642
354 1631554481 19,464228 0,200000 19,464228 19,464228 75,771237
312 1631554481 0,141177 0,200000 0,141177 0,141177 0,003986
339 1631554481 0,119484 0,400000 0,102774 0,136195 0,005822
329 1631554481 0,057965 0,400000 0,057352 0,058578 0,001344
375 1631554481 0,094807 0,200000 0,094807 0,094807 0,001798
348 1631554481 14,296739 0,200000 14,296739 14,296739 40,879351
372 1631554481 10,442976 0,200000 10,442976 10,442976 21,811150
378 1631554481 10,442329 0,200000 10,442329 10,442329 21,808447
357 1631554481 10,488589 0,200000 10,488589 10,488589 22,002098
351 1631554481 14,749907 0,600000 10,488625 19,464310 138,653735
315 1631554481 0,111440 0,200000 0,111440 0,111440 0,002484
332 1631554482 0,144844 0,200000 0,144844 0,144844 0,004196
300 1631554482 0,093235 0,600000 0,088442 0,096874 0,005223
345 1631554482 19,816220 0,200000 19,816220 19,816220 78,536517
369 1631554482 0,062458 0,200000 0,062458 0,062458 0,000780
339 1631554482 0,087590 0,200000 0,087590 0,087590 0,001534
326 1631554482 0,054095 0,200000 0,054095 0,054095 0,000585
342 1631554482 19,816188 0,200000 19,816188 19,816188 78,536264
315 1631554482 0,106261 0,600000 0,095598 0,111914 0,006809
332 1631554483 0,144844 0,200000 0,144844 0,144844 0,004196
300 1631554483 0,093235 0,600000 0,088442 0,096874 0,005223
345 1631554483 19,816220 0,200000 19,816220 19,816220 78,536517
369 1631554483 0,062458 0,200000 0,062458 0,062458 0,000780
339 1631554483 0,087590 0,200000 0,087590 0,087590 0,001534
326 1631554483 0,054095 0,200000 0,054095 0,054095 0,000585
342 1631554483 19,816188 0,200000 19,816188 19,816188 78,536264
315 1631554483 0,106261 0,600000 0,095598 0,111914 0,006809
332 1631554484 0,144844 0,200000 0,144844 0,144844 0,004196
300 1631554484 0,093235 0,600000 0,088442 0,096874 0,005223
345 1631554484 19,816220 0,200000 19,816220 19,816220 78,536517
369 1631554484 0,062458 0,200000 0,062458 0,062458 0,000780
